threshold,precision,recall
0.570,0.863,0.829
0.572,0.865,0.828
0.573,0.867,0.828
0.575,0.866,0.827
0.576,0.867,0.827
0.579,0.868,0.825
0.580,0.869,0.825
0.581,0.870,0.824
0.582,0.871,0.823
0.583,0.872,0.822
0.584,0.875,0.822
0.585,0.876,0.822
0.586,0.877,0.822
0.588,0.880,0.822
0.592,0.879,0.821
0.593,0.881,0.821
0.594,0.880,0.819
0.596,0.881,0.819
0.597,0.882,0.817
0.599,0.883,0.817
0.602,0.883,0.816
0.604,0.884,0.816
0.607,0.884,0.815
0.608,0.885,0.815
0.609,0.886,0.814
0.610,0.886,0.813
0.611,0.887,0.813
0.613,0.888,0.813
0.614,0.889,0.813
0.615,0.889,0.812
0.616,0.890,0.812
0.619,0.890,0.811
0.621,0.894,0.811
0.622,0.895,0.811
0.623,0.895,0.809
0.624,0.896,0.809
0.625,0.897,0.809
0.627,0.897,0.808
0.628,0.897,0.806
0.630,0.898,0.806
0.631,0.900,0.805
0.633,0.900,0.804
0.634,0.899,0.801
0.635,0.899,0.800
0.636,0.901,0.800
0.640,0.900,0.799
0.642,0.903,0.799
0.646,0.903,0.798
0.648,0.904,0.798
0.651,0.904,0.797
0.655,0.905,0.797
0.656,0.905,0.794
0.657,0.904,0.793
0.658,0.904,0.792
0.659,0.904,0.791
0.661,0.904,0.790
0.662,0.905,0.789
0.663,0.906,0.788
0.667,0.907,0.788
0.669,0.909,0.788
0.671,0.908,0.786
0.674,0.908,0.785
0.675,0.911,0.785
0.679,0.911,0.784
0.681,0.912,0.783
0.684,0.912,0.781
0.685,0.911,0.780
0.687,0.913,0.780
0.688,0.915,0.778
0.690,0.915,0.777
0.691,0.915,0.776
0.692,0.916,0.775
0.694,0.917,0.773
0.695,0.917,0.770
0.696,0.917,0.769
0.699,0.916,0.768
0.701,0.919,0.768
0.702,0.919,0.767
0.703,0.920,0.765
0.704,0.921,0.763
0.706,0.922,0.763
0.707,0.922,0.762
0.708,0.924,0.762
0.711,0.925,0.761
0.712,0.926,0.758
0.715,0.926,0.757
0.717,0.925,0.755
0.718,0.927,0.755
0.719,0.928,0.754
0.721,0.928,0.753
0.724,0.928,0.750
0.725,0.927,0.749
0.727,0.927,0.746
0.728,0.929,0.746
0.729,0.928,0.742
0.730,0.929,0.742
0.731,0.931,0.742
0.733,0.932,0.742
0.735,0.933,0.741
0.737,0.933,0.739
0.738,0.933,0.738
0.739,0.933,0.737
0.740,0.934,0.737
0.741,0.934,0.736
0.742,0.934,0.734
0.745,0.937,0.734
0.747,0.938,0.734
0.748,0.938,0.732
0.752,0.940,0.731
0.753,0.939,0.729
0.754,0.941,0.728
0.755,0.941,0.727
0.756,0.942,0.726
0.757,0.945,0.726
0.758,0.945,0.723
0.759,0.946,0.722
0.760,0.947,0.722
0.762,0.950,0.722
0.763,0.952,0.721
0.764,0.953,0.721
0.768,0.953,0.720
0.769,0.954,0.718
0.770,0.956,0.718
0.771,0.957,0.715
0.772,0.957,0.714
0.773,0.957,0.712
0.775,0.957,0.711
0.777,0.957,0.707
0.779,0.958,0.706
0.780,0.961,0.705
0.781,0.962,0.703
0.782,0.964,0.701
0.783,0.964,0.700
0.784,0.964,0.699
0.785,0.965,0.699
0.786,0.965,0.698
0.787,0.968,0.697
0.788,0.970,0.696
0.789,0.970,0.695
0.791,0.970,0.693
0.792,0.969,0.692
0.793,0.969,0.691
0.794,0.969,0.689
0.795,0.969,0.688
0.796,0.969,0.687
0.797,0.969,0.685
0.798,0.971,0.683
0.799,0.970,0.680
0.801,0.974,0.676
0.802,0.974,0.675
0.806,0.973,0.673
0.807,0.975,0.670
0.809,0.977,0.668
0.810,0.978,0.668
0.811,0.978,0.666
0.812,0.978,0.665
0.814,0.978,0.662
0.815,0.978,0.661
0.816,0.978,0.660
0.817,0.980,0.660
0.818,0.979,0.657
0.820,0.981,0.653
0.821,0.981,0.651
0.822,0.981,0.648
0.823,0.981,0.646
0.824,0.981,0.645
0.827,0.981,0.644
0.828,0.981,0.643
0.829,0.981,0.639
0.831,0.981,0.638
0.832,0.981,0.637
0.834,0.980,0.635
0.835,0.982,0.631
0.836,0.984,0.631
0.837,0.984,0.629
0.839,0.984,0.628
0.841,0.984,0.627
0.842,0.984,0.625
0.843,0.984,0.623
0.845,0.984,0.622
0.847,0.984,0.621
0.848,0.984,0.620
0.849,0.984,0.618
0.850,0.984,0.617
0.851,0.983,0.615
0.852,0.983,0.613
0.853,0.983,0.610
0.854,0.983,0.607
0.855,0.983,0.605
0.857,0.983,0.603
0.858,0.985,0.602
0.859,0.989,0.602
0.860,0.991,0.600
0.861,0.991,0.599
0.862,0.990,0.598
0.863,0.990,0.596
0.864,0.990,0.594
0.865,0.990,0.591
0.867,0.990,0.588
0.868,0.990,0.587
0.869,0.990,0.583
0.870,0.990,0.582
0.871,0.990,0.580
0.872,0.990,0.579
0.873,0.990,0.577
0.874,0.990,0.572
0.875,0.990,0.571
0.876,0.990,0.567
0.877,0.990,0.564
0.878,0.992,0.559
0.880,0.992,0.557
0.881,0.992,0.556
0.883,0.992,0.553
0.884,0.992,0.549
0.885,0.992,0.544
0.886,0.992,0.536
0.887,0.991,0.535
0.888,0.991,0.530
0.889,0.991,0.528
0.890,0.991,0.524
0.891,0.991,0.520
0.892,0.991,0.519
0.893,0.991,0.513
0.894,0.991,0.511
0.895,0.991,0.509
0.896,0.991,0.507
0.897,0.991,0.505
0.898,0.993,0.497
0.899,0.993,0.495
0.900,0.993,0.489
0.901,0.993,0.485
0.902,0.993,0.478
0.903,0.995,0.472
0.904,0.995,0.471
0.905,0.998,0.465
0.906,0.998,0.464
0.907,0.998,0.459
0.908,0.997,0.457
0.910,0.997,0.454
0.911,0.997,0.449
0.912,0.997,0.448
0.913,0.997,0.445
0.914,0.997,0.437
0.915,0.997,0.431
0.916,0.997,0.428
0.918,0.997,0.426
0.919,0.997,0.424
0.920,0.997,0.417
0.921,0.997,0.412
0.922,0.997,0.408
0.923,0.997,0.404
0.924,0.997,0.403
0.925,0.997,0.400
0.926,0.997,0.390
0.927,0.997,0.383
0.928,0.997,0.378
0.929,0.997,0.372
0.930,0.997,0.365
0.931,0.997,0.358
0.932,0.997,0.355
0.933,0.997,0.352
0.934,0.997,0.347
0.935,0.997,0.342
0.936,0.997,0.340
0.937,1.000,0.334
0.938,1.000,0.327
0.939,1.000,0.320
0.940,1.000,0.313
0.941,1.000,0.308
0.942,1.000,0.299
0.943,1.000,0.297
0.944,1.000,0.292
0.945,1.000,0.286
0.946,1.000,0.279
