threshold,true positive rate,false positive rate
0.893,0.479,0.000
0.894,0.475,0.000
0.895,0.473,0.000
0.897,0.472,0.000
0.898,0.470,0.000
0.899,0.462,0.000
0.900,0.459,0.000
0.901,0.455,0.000
0.903,0.452,0.000
0.904,0.448,0.000
0.905,0.447,0.000
0.906,0.437,0.000
0.907,0.434,0.000
0.911,0.431,0.000
0.912,0.427,0.000
0.914,0.416,0.000
0.915,0.409,0.000
0.916,0.403,0.000
0.917,0.396,0.000
0.918,0.393,0.000
0.919,0.388,0.000
0.920,0.386,0.000
0.921,0.382,0.000
0.922,0.374,0.000
0.923,0.369,0.000
0.924,0.361,0.000
0.925,0.354,0.000
0.926,0.349,0.000
0.927,0.338,0.000
0.928,0.331,0.000
0.929,0.320,0.000
0.930,0.316,0.000
0.931,0.305,0.000
0.932,0.301,0.000
0.933,0.295,0.000
0.934,0.286,0.000
0.935,0.278,0.000
0.936,0.271,0.000
0.937,0.265,0.000
0.938,0.264,0.000
0.939,0.256,0.000
0.940,0.255,0.000
0.941,0.249,0.000
0.942,0.242,0.000
0.943,0.239,0.000
0.944,0.228,0.000
0.945,0.223,0.000
0.946,0.212,0.000
0.948,0.203,0.000
0.950,0.187,0.000
0.951,0.180,0.000
0.952,0.175,0.000
0.954,0.158,0.000
0.955,0.153,0.000
0.956,0.148,0.000
0.957,0.139,0.000
0.958,0.134,0.000
0.959,0.133,0.000
0.960,0.122,0.000
0.961,0.114,0.000
0.963,0.102,0.000
0.964,0.090,0.000
0.965,0.086,0.000
0.968,0.072,0.000
0.969,0.064,0.000
0.970,0.061,0.000
0.972,0.052,0.000
0.973,0.051,0.000
0.974,0.047,0.000
0.975,0.041,0.000
0.976,0.038,0.000
0.977,0.036,0.000
0.979,0.029,0.000
0.981,0.020,0.000
0.982,0.017,0.000
0.983,0.010,0.000
0.985,0.006,0.000
0.988,0.002,0.000
