threshold,precision,recall
0.755,0.978,0.659
0.756,0.978,0.658
0.757,0.978,0.657
0.758,0.978,0.656
0.761,0.978,0.652
0.762,0.978,0.651
0.763,0.978,0.650
0.765,0.978,0.649
0.766,0.977,0.648
0.767,0.977,0.646
0.771,0.977,0.645
0.772,0.979,0.645
0.776,0.979,0.644
0.777,0.979,0.643
0.779,0.982,0.642
0.780,0.982,0.641
0.781,0.984,0.641
0.783,0.984,0.639
0.785,0.986,0.639
0.786,0.986,0.637
0.788,0.986,0.636
0.790,0.986,0.633
0.791,0.986,0.631
0.792,0.986,0.629
0.795,0.986,0.627
0.797,0.986,0.625
0.800,0.987,0.625
0.802,0.987,0.623
0.803,0.987,0.622
0.804,0.987,0.621
0.805,0.987,0.620
0.806,0.987,0.619
0.807,0.987,0.617
0.808,0.989,0.617
0.809,0.989,0.615
0.810,0.989,0.612
0.811,0.989,0.611
0.813,0.989,0.608
0.814,0.989,0.607
0.815,0.989,0.606
0.817,0.989,0.604
0.818,0.989,0.602
0.821,0.989,0.600
0.822,0.989,0.599
0.823,0.989,0.598
0.824,0.989,0.597
0.825,0.989,0.596
0.828,0.989,0.592
0.829,0.988,0.590
0.830,0.988,0.588
0.831,0.988,0.586
0.833,0.988,0.584
0.834,0.988,0.583
0.835,0.988,0.580
0.836,0.988,0.575
0.837,0.988,0.573
0.839,0.988,0.572
0.840,0.988,0.571
0.842,0.988,0.569
0.843,0.988,0.568
0.845,0.990,0.568
0.846,0.990,0.564
0.847,0.990,0.563
0.848,0.990,0.560
0.849,0.990,0.559
0.850,0.990,0.558
0.851,0.992,0.556
0.853,0.992,0.555
0.854,0.992,0.551
0.855,0.992,0.550
0.857,0.992,0.544
0.858,0.994,0.541
0.860,0.994,0.538
0.861,0.996,0.535
0.862,0.996,0.534
0.863,0.996,0.530
0.864,0.996,0.529
0.865,0.998,0.527
0.866,0.998,0.526
0.868,0.998,0.525
0.870,0.998,0.524
0.871,0.998,0.522
0.872,0.998,0.521
0.875,0.998,0.519
0.876,0.998,0.517
0.877,0.998,0.515
0.878,0.998,0.513
0.879,0.998,0.509
0.880,0.998,0.507
0.881,0.998,0.505
0.882,0.998,0.503
0.883,0.998,0.499
0.884,0.998,0.497
0.885,0.998,0.493
0.886,0.998,0.490
0.887,0.998,0.488
0.888,1.000,0.485
0.889,1.000,0.481
0.890,1.000,0.480
0.891,1.000,0.478
0.892,1.000,0.475
0.893,1.000,0.473
0.894,1.000,0.472
0.895,1.000,0.471
0.896,1.000,0.468
0.897,1.000,0.463
0.898,1.000,0.460
0.899,1.000,0.458
0.900,1.000,0.452
0.901,1.000,0.451
0.902,1.000,0.449
0.903,1.000,0.445
0.904,1.000,0.441
0.905,1.000,0.440
0.906,1.000,0.437
0.907,1.000,0.434
0.908,1.000,0.431
0.909,1.000,0.424
0.910,1.000,0.420
0.911,1.000,0.414
0.912,1.000,0.412
0.913,1.000,0.409
0.914,1.000,0.405
0.915,1.000,0.397
0.916,1.000,0.396
0.917,1.000,0.389
0.918,1.000,0.383
0.919,1.000,0.374
0.920,1.000,0.370
0.921,1.000,0.363
0.922,1.000,0.359
0.923,1.000,0.356
0.924,1.000,0.350
0.925,1.000,0.344
0.926,1.000,0.333
0.927,1.000,0.326
0.928,1.000,0.319
0.929,1.000,0.316
0.930,1.000,0.305
0.931,1.000,0.297
0.932,1.000,0.293
0.933,1.000,0.285
0.934,1.000,0.279
0.935,1.000,0.277
0.936,1.000,0.269
0.937,1.000,0.258
0.938,1.000,0.253
0.939,1.000,0.247
0.940,1.000,0.238
0.941,1.000,0.226
0.942,1.000,0.220
0.943,1.000,0.211
0.944,1.000,0.209
0.945,1.000,0.196
0.946,1.000,0.187
0.947,1.000,0.179
0.948,1.000,0.170
0.949,1.000,0.168
0.950,1.000,0.157
0.951,1.000,0.149
0.952,1.000,0.139
0.953,1.000,0.132
0.954,1.000,0.123
0.955,1.000,0.115
0.956,1.000,0.108
0.957,1.000,0.107
0.958,1.000,0.103
0.959,1.000,0.098
0.960,1.000,0.090
0.961,1.000,0.086
0.962,1.000,0.078
0.963,1.000,0.071
0.964,1.000,0.069
0.965,1.000,0.065
0.966,1.000,0.060
0.967,1.000,0.059
0.968,1.000,0.053
0.970,1.000,0.048
0.971,1.000,0.046
0.972,1.000,0.045
0.973,1.000,0.044
0.974,1.000,0.036
0.975,1.000,0.031
0.976,1.000,0.029
0.977,1.000,0.024
0.978,1.000,0.021
0.979,1.000,0.017
0.980,1.000,0.013
0.981,1.000,0.010
0.982,1.000,0.009
0.984,1.000,0.008
0.985,1.000,0.006
0.986,1.000,0.005
0.990,1.000,0.001
