threshold,precision,recall
0.872,0.996,0.525
0.873,0.996,0.521
0.874,0.996,0.519
0.875,0.996,0.518
0.877,0.996,0.517
0.878,0.996,0.514
0.879,0.996,0.513
0.880,0.996,0.511
0.882,0.995,0.505
0.883,0.995,0.502
0.885,0.995,0.497
0.886,0.995,0.493
0.887,0.995,0.490
0.889,0.995,0.487
0.890,0.995,0.486
0.891,0.995,0.481
0.892,0.995,0.480
0.893,0.995,0.476
0.894,0.998,0.470
0.895,0.998,0.466
0.896,0.998,0.465
0.897,0.998,0.463
0.898,0.998,0.459
0.899,0.997,0.457
0.900,0.997,0.456
0.901,0.997,0.454
0.902,0.997,0.451
0.903,0.997,0.447
0.904,0.997,0.444
0.905,0.997,0.442
0.906,0.997,0.440
0.907,0.997,0.435
0.908,0.997,0.434
0.909,0.997,0.429
0.910,0.997,0.426
0.911,0.997,0.420
0.912,0.997,0.417
0.913,0.997,0.413
0.914,0.997,0.412
0.915,0.997,0.408
0.916,0.997,0.405
0.917,0.997,0.398
0.918,0.997,0.394
0.919,0.997,0.389
0.920,0.997,0.381
0.921,0.997,0.378
0.922,0.997,0.374
0.923,0.997,0.366
0.924,0.997,0.358
0.925,0.997,0.348
0.926,1.000,0.341
0.927,1.000,0.336
0.928,1.000,0.331
0.929,1.000,0.327
0.930,1.000,0.323
0.931,1.000,0.320
0.932,1.000,0.311
0.933,1.000,0.307
0.934,1.000,0.299
0.935,1.000,0.295
0.936,1.000,0.288
0.937,1.000,0.280
0.938,1.000,0.270
0.939,1.000,0.261
0.940,1.000,0.253
0.941,1.000,0.243
0.942,1.000,0.238
0.943,1.000,0.230
0.944,1.000,0.228
0.945,1.000,0.218
0.946,1.000,0.210
0.947,1.000,0.202
0.948,1.000,0.200
0.949,1.000,0.194
0.950,1.000,0.185
0.951,1.000,0.178
0.952,1.000,0.170
0.953,1.000,0.163
0.954,1.000,0.153
0.955,1.000,0.147
0.956,1.000,0.137
0.957,1.000,0.130
0.958,1.000,0.125
0.959,1.000,0.118
0.960,1.000,0.115
0.961,1.000,0.109
0.962,1.000,0.101
0.963,1.000,0.096
0.964,1.000,0.086
