threshold,precision,recall
0.882,0.974,0.518
0.883,0.976,0.515
0.884,0.976,0.514
0.886,0.976,0.513
0.888,0.976,0.511
0.889,0.976,0.510
0.890,0.976,0.505
0.891,0.978,0.504
0.892,0.978,0.502
0.893,0.978,0.501
0.894,0.978,0.499
0.895,0.977,0.497
0.896,0.977,0.495
0.897,0.977,0.491
0.898,0.977,0.487
0.899,0.977,0.485
0.900,0.977,0.482
0.901,0.977,0.480
0.902,0.977,0.478
0.903,0.976,0.475
0.904,0.976,0.472
0.905,0.976,0.465
0.906,0.975,0.452
0.907,0.975,0.449
0.908,0.975,0.445
0.909,0.977,0.444
0.910,0.977,0.442
0.911,0.977,0.441
0.913,0.977,0.439
0.914,0.979,0.437
0.915,0.979,0.433
0.916,0.979,0.429
0.917,0.981,0.424
0.918,0.981,0.421
0.919,0.981,0.419
0.920,0.981,0.416
0.921,0.984,0.412
0.922,0.983,0.406
0.923,0.986,0.401
0.924,0.986,0.395
0.925,0.986,0.392
0.926,0.985,0.388
0.927,0.988,0.388
0.928,0.988,0.383
0.929,0.988,0.378
0.930,0.988,0.373
0.931,0.988,0.365
0.932,0.987,0.362
0.933,0.987,0.358
0.934,0.990,0.354
0.935,0.990,0.350
0.936,0.990,0.342
0.937,0.990,0.336
0.938,0.990,0.332
0.939,0.990,0.325
0.940,0.989,0.312
0.941,0.989,0.304
0.942,0.989,0.297
0.943,0.988,0.290
0.944,0.988,0.284
0.945,0.988,0.277
0.946,0.987,0.268
0.947,0.987,0.262
0.948,0.986,0.251
0.949,0.986,0.245
0.950,0.991,0.243
0.951,0.990,0.238
0.952,0.990,0.234
0.953,0.990,0.225
0.954,0.989,0.216
0.955,0.989,0.208
0.956,0.994,0.203
0.957,0.994,0.192
0.958,1.000,0.187
0.959,1.000,0.180
0.960,1.000,0.175
0.961,1.000,0.160
0.962,1.000,0.150
0.963,1.000,0.145
0.964,1.000,0.137
0.965,1.000,0.125
0.966,1.000,0.119
0.967,1.000,0.114
0.968,1.000,0.104
0.969,1.000,0.098
0.970,1.000,0.093
0.971,1.000,0.084
0.972,1.000,0.073
0.973,1.000,0.068
0.974,1.000,0.060
0.975,1.000,0.055
0.976,1.000,0.048
0.977,1.000,0.040
0.978,1.000,0.034
0.979,1.000,0.031
0.980,1.000,0.028
0.981,1.000,0.024
0.983,1.000,0.020
0.984,1.000,0.016
0.985,1.000,0.014
0.986,1.000,0.013
0.987,1.000,0.011
0.988,1.000,0.009
0.989,1.000,0.007
0.990,1.000,0.005
0.991,1.000,0.003
0.993,1.000,0.002
0.995,1.000,0.001
