threshold,true positive rate,false positive rate
0.971,0.110,0.000
0.972,0.108,0.000
0.973,0.104,0.000
0.974,0.102,0.000
0.975,0.099,0.000
0.976,0.087,0.000
0.977,0.078,0.000
0.978,0.075,0.000
0.979,0.073,0.000
0.980,0.070,0.000
0.981,0.064,0.000
0.983,0.057,0.000
0.986,0.054,0.000
0.987,0.049,0.000
0.988,0.042,0.000
0.989,0.033,0.000
0.990,0.032,0.000
0.993,0.018,0.000
0.994,0.016,0.000
0.995,0.011,0.000
0.996,0.010,0.000
1.000,0.001,0.000
