threshold,true positive rate,false positive rate
0.816,0.587,0.000
0.817,0.586,0.000
0.820,0.581,0.000
0.825,0.579,0.000
0.827,0.574,0.000
0.829,0.567,0.000
0.836,0.564,0.000
0.838,0.560,0.000
0.839,0.558,0.000
0.841,0.551,0.000
0.842,0.549,0.000
0.845,0.546,0.000
0.850,0.540,0.000
0.854,0.535,0.000
0.855,0.533,0.000
0.856,0.530,0.000
0.857,0.529,0.000
0.858,0.527,0.000
0.859,0.524,0.000
0.861,0.521,0.000
0.864,0.511,0.000
0.865,0.509,0.000
0.867,0.506,0.000
0.868,0.502,0.000
0.875,0.490,0.000
0.878,0.481,0.000
0.879,0.478,0.000
0.880,0.476,0.000
0.881,0.473,0.000
0.882,0.471,0.000
0.883,0.466,0.000
0.884,0.463,0.000
0.885,0.462,0.000
0.886,0.459,0.000
0.887,0.458,0.000
0.889,0.455,0.000
0.890,0.452,0.000
0.891,0.451,0.000
0.892,0.447,0.000
0.893,0.441,0.000
0.895,0.434,0.000
0.896,0.433,0.000
0.897,0.427,0.000
0.899,0.424,0.000
0.900,0.416,0.000
0.901,0.412,0.000
0.902,0.408,0.000
0.903,0.405,0.000
0.906,0.385,0.000
0.907,0.379,0.000
0.910,0.365,0.000
0.912,0.361,0.000
0.913,0.355,0.000
0.915,0.350,0.000
0.916,0.347,0.000
0.917,0.344,0.000
0.918,0.341,0.000
0.919,0.340,0.000
0.921,0.328,0.000
0.922,0.324,0.000
0.923,0.316,0.000
0.924,0.309,0.000
0.926,0.307,0.000
0.927,0.296,0.000
0.928,0.292,0.000
0.929,0.286,0.000
0.930,0.279,0.000
0.931,0.269,0.000
0.932,0.259,0.000
0.933,0.257,0.000
0.934,0.250,0.000
0.935,0.240,0.000
0.936,0.237,0.000
0.937,0.231,0.000
0.938,0.227,0.000
0.939,0.222,0.000
0.940,0.215,0.000
0.941,0.212,0.000
0.942,0.211,0.000
0.944,0.202,0.000
0.945,0.193,0.000
0.946,0.191,0.000
0.947,0.184,0.000
0.948,0.176,0.000
0.949,0.173,0.000
0.950,0.162,0.000
0.951,0.157,0.000
0.952,0.149,0.000
0.953,0.142,0.000
0.954,0.138,0.000
0.955,0.131,0.000
0.956,0.125,0.000
0.958,0.116,0.000
0.960,0.104,0.000
0.961,0.098,0.000
0.963,0.088,0.000
0.964,0.082,0.000
0.965,0.080,0.000
0.966,0.075,0.000
0.967,0.073,0.000
0.968,0.069,0.000
0.969,0.067,0.000
0.970,0.063,0.000
0.971,0.053,0.000
0.972,0.051,0.000
0.973,0.045,0.000
0.974,0.041,0.000
0.975,0.039,0.000
0.977,0.032,0.000
0.978,0.026,0.000
0.979,0.023,0.000
0.980,0.021,0.000
0.981,0.016,0.000
0.982,0.014,0.000
0.983,0.009,0.000
0.984,0.007,0.000
0.986,0.003,0.000
0.991,0.001,0.000
