threshold,true positive rate,false positive rate
0.918,0.494,0.000
0.919,0.487,0.000
0.921,0.482,0.000
0.922,0.481,0.000
0.923,0.478,0.000
0.924,0.475,0.000
0.925,0.472,0.000
0.926,0.470,0.000
0.928,0.464,0.000
0.929,0.459,0.000
0.931,0.452,0.000
0.932,0.450,0.000
0.933,0.445,0.000
0.934,0.439,0.000
0.935,0.436,0.000
0.937,0.432,0.000
0.938,0.426,0.000
0.939,0.419,0.000
0.940,0.413,0.000
0.941,0.406,0.000
0.942,0.403,0.000
0.943,0.396,0.000
0.944,0.393,0.000
0.945,0.385,0.000
0.946,0.379,0.000
0.947,0.374,0.000
0.948,0.366,0.000
0.949,0.363,0.000
0.950,0.358,0.000
0.951,0.356,0.000
0.952,0.350,0.000
0.953,0.339,0.000
0.954,0.330,0.000
0.955,0.324,0.000
0.956,0.318,0.000
0.957,0.309,0.000
0.959,0.297,0.000
0.960,0.285,0.000
0.961,0.284,0.000
0.962,0.270,0.000
0.963,0.258,0.000
0.964,0.250,0.000
0.965,0.242,0.000
0.966,0.231,0.000
0.967,0.220,0.000
0.968,0.214,0.000
0.969,0.201,0.000
0.970,0.189,0.000
0.971,0.177,0.000
0.972,0.169,0.000
0.973,0.160,0.000
0.974,0.152,0.000
0.975,0.140,0.000
0.976,0.125,0.000
0.977,0.114,0.000
0.979,0.084,0.000
0.980,0.076,0.000
0.981,0.063,0.000
0.982,0.052,0.000
0.983,0.047,0.000
0.984,0.040,0.000
0.985,0.036,0.000
0.986,0.032,0.000
0.987,0.028,0.000
0.988,0.021,0.000
0.989,0.016,0.000
0.991,0.005,0.000
0.996,0.002,0.000
